Accepted term,Synonym
branch_bud_surface,branch_bud_surface.2.surface
branch_bud_surface,branch_bud_surface.3.surface
branch_hair_surface,branch_hair_surface.1.surface
branch_inflorescence_surface,branch_inflorescence_surface.1.surface
branch_leaf_hair_surface,branch_leaf_hair_surface.1.surface
branch_leaf_surface,branch_leaf_surface.1.surface
branch_petiole_surface,branch_petiole_surface.1.surface
branch_surface,branch_surface.1.surface
branch_surface,branch_surface.2.surface
branch_surface,branch_surface.3.surface
branch_surface,branch_surface.4.surface
branch_surface,branch_surface.5.surface
branch_surface,branch_surface.6.surface
branch_trichome_surface,branch_trichome_surface.1.surface
bud_apex_surface,bud_apex_surface.1.surface
bud_cilia_surface,bud_cilia_surface.1.surface
bud_hair_surface,bud_hair_surface.1.surface
bud_margin_surface,bud_margin_surface.1.surface
bud_margin_surface,bud_margin_surface.2.surface
bud_scales_surface,bud_scales_surface.1.surface
bud_scales_surface,bud_scales_surface.2.surface
bud_surface,bud_surface.1.surface
bud_surface,bud_surface.2.surface
bud_surface,bud_surface.3.surface
catkin_scales_surface,catkin_scales_surface.1.surface
catkin_surface_male,catkin_surface_male.1.surface
column_gland_surface,column_gland_surface.1.surface
column_surface,column_surface.1.surface
column_surface,column_surface.2.surface
column_surface,column_surface.3.surface
cotyledon_surface,cotyledon_surface.1.surface
dehiscent_surface,dehiscent_surface.1.surface
endocarp_surface,endocarp_surface.1.surface
flower_apex_surface_pistillate,flower_apex_surface_pistillate.1.surface
fruit_gland_surface,fruit_gland_surface.1.surface
fruit_hair_surface,fruit_hair_surface.1.surface
fruit_margin_surface,fruit_margin_surface.1.surface
fruit_scales_surface,fruit_scales_surface.1.surface
fruit_scales_surface,fruit_scales_surface.2.surface
fruit_surface,fruit_surface.1.surface
fruit_surface,fruit_surface.2.surface
fruit_surface,fruit_surface.3.surface
fruit_surface,fruit_surface.4.surface
indehiscent_surface,indehiscent_surface.1.surface
indehiscent_surface,indehiscent_surface.2.surface
inflorescence_hair_surface,inflorescence_hair_surface.1.surface
inflorescence_leaf_axil_surface,inflorescence_leaf_axil_surface.1.surface
inflorescence_nut_surface,inflorescence_nut_surface.1.surface
inflorescence_scales_surface,inflorescence_scales_surface.1.surface
inflorescence_surface,inflorescence_surface.1.surface
inflorescence_surface,inflorescence_surface.2.surface
inflorescence_surface_male,inflorescence_surface_male.1.surface
inflorescence_trichome_surface,inflorescence_trichome_surface.1.surface
inflorescence_trichome_surface,inflorescence_trichome_surface.2.surface
infructescence_scales_surface,infructescence_scales_surface.1.surface
infructescence_scales_surface,infructescence_scales_surface.2.surface
infructescence_surface,infructescence_surface.1.surface
infructescence_surface,infructescence_surface.2.surface
introrse_surface,introrse_surface.1.surface
introrse_surface,introrse_surface.2.surface
introrse_surface,introrse_surface.3.surface
leaf_axil_surface,leaf_axil_surface.1.surface
leaf_axil_surface,leaf_axil_surface.2.surface
leaf_base_surface,leaf_base_surface.1.surface
leaf_base_surface,leaf_base_surface.2.surface
leaf_gland_surface,leaf_gland_surface.1.surface
leaf_gland_surface,leaf_gland_surface.2.surface
leaf_hair_surface,leaf_hair_surface.1.surface
leaf_hair_surface,leaf_hair_surface.2.surface
leaf_hair_surface,leaf_hair_surface.3.surface
leaf_hair_surface,leaf_hair_surface.4.surface
leaf_margin_surface,leaf_margin_surface.1.surface
leaf_scales_surface,leaf_scales_surface.1.surface
leaf_surface,leaf_surface.1.surface
leaf_surface,leaf_surface.2.surface
leaf_surface,leaf_surface.3.surface
leaf_surface,leaf_surface.4.surface
leaf_surface,leaf_surface.5.surface
leaf_surface,leaf_surface.6.surface
leaf_surface,leaf_surface.7.surface
leaf_trichome_surface,leaf_trichome_surface.1.surface
leaf_trichome_surface,leaf_trichome_surface.2.surface
leaflet_gland_surface,leaflet_gland_surface.1.surface
leaflet_gland_surface,leaflet_gland_surface.2.surface
leaflet_hair_surface,leaflet_hair_surface.1.surface
leaflet_hair_surface,leaflet_hair_surface.2.surface
leaflet_hair_surface,leaflet_hair_surface.3.surface
leaflet_scales_surface,leaflet_scales_surface.1.surface
leaflet_scales_surface,leaflet_scales_surface.2.surface
leaflet_scales_surface,leaflet_scales_surface.3.surface
leaflet_surface,leaflet_surface.1.surface
lenticel_surface,lenticel_surface.1.surface
lenticel_surface,lenticel_surface.2.surface
nut_apex_surface,nut_apex_surface.1.surface
nut_apex_surface,nut_apex_surface.2.surface
nut_base_surface,nut_base_surface.1.surface
nut_hair_surface,nut_hair_surface.1.surface
nut_hair_surface,nut_hair_surface.2.surface
nut_margin_surface,nut_margin_surface.1.surface
nut_scales_surface,nut_scales_surface.1.surface
nut_scales_surface,nut_scales_surface.2.surface
nut_surface,nut_surface.1.surface
nut_surface,nut_surface.2.surface
nut_surface,nut_surface.3.surface
nut_surface,nut_surface.4.surface
nut_surface,nut_surface.5.surface
nut_surface,nut_surface.6.surface
nut_surface,nut_surface.7.surface
nut_surface,nut_surface.8.surface
nut_tip_surface,nut_tip_surface.1.surface
nut_tip_surface,nut_tip_surface.2.surface
nutlet_apex_surface,nutlet_apex_surface.1.surface
nutlet_surface,nutlet_surface.1.surface
nutlet_surface,nutlet_surface.2.surface
nutlet_surface,nutlet_surface.3.surface
nutlet_wing_surface,nutlet_wing_surface.1.surface
ovary_apex_surface,ovary_apex_surface.1.surface
ovary_base_surface,ovary_base_surface.1.surface
ovary_surface,ovary_surface.1.surface
ovary_surface,ovary_surface.2.surface
ovary_surface,ovary_surface.3.surface
panicle_surface_male,panicle_surface_male.1.surface
peduncle_rachis_surface,peduncle_rachis_surface.1.surface
peduncle_surface,peduncle_surface.1.surface
peduncle_surface,peduncle_surface.2.surface
peduncle_surface,peduncle_surface.3.surface
perianth_surface,perianth_surface.1.surface
petiole_base_surface,petiole_base_surface.1.surface
petiole_gland_surface,petiole_gland_surface.1.surface
petiole_hair_surface,petiole_hair_surface.1.surface
petiole_hair_surface,petiole_hair_surface.2.surface
petiole_margin_surface,petiole_margin_surface.1.surface
petiole_rachis_hair_surface,petiole_rachis_hair_surface.1.surface
petiole_rachis_surface,petiole_rachis_surface.1.surface
petiole_rachis_surface,petiole_rachis_surface.2.surface
petiole_surface,petiole_surface.1.surface
petiole_surface,petiole_surface.2.surface
petiole_surface,petiole_surface.3.surface
petiole_surface,petiole_surface.4.surface
petiole_surface,petiole_surface.5.surface
petiole_surface,petiole_surface.6.surface
petiole_trichome_surface,petiole_trichome_surface.1.surface
pistil_hair_surface,pistil_hair_surface.1.surface
pistil_surface,pistil_surface.1.surface
rachis_base_surface,rachis_base_surface.1.surface
rachis_bract_surface,rachis_bract_surface.1.surface
rachis_gland_surface,rachis_gland_surface.1.surface
rachis_hair_surface,rachis_hair_surface.1.surface
rachis_surface,rachis_surface.1.surface
rachis_surface,rachis_surface.2.surface
rachis_surface,rachis_surface.3.surface
rachis_surface_male,rachis_surface_male.1.surface
rachis_trichome_surface,rachis_trichome_surface.1.surface
receptacle_surface_staminate,receptacle_surface_staminate.1.surface
samara_surface,samara_surface.1.surface
seed_surface,seed_surface.1.surface
sheath_surface,sheath_surface.1.surface
solitary_hair_surface,solitary_hair_surface.1.surface
solitary_surface,solitary_surface.1.surface
solitary_surface,solitary_surface.2.surface
spike_axis_surface,spike_axis_surface.1.surface
spike_axis_surface,spike_axis_surface.2.surface
spike_surface,spike_surface.1.surface
stalk_bract_surface_staminate,stalk_bract_surface_staminate.1.surface
stalk_bract_surface_staminate,stalk_bract_surface_staminate.2.surface
stalk_hair_surface,stalk_hair_surface.1.surface
stalk_hair_surface_staminate,stalk_hair_surface_staminate.1.surface
stalk_surface,stalk_surface.1.surface
stalk_surface_staminate,stalk_surface_staminate.1.surface
stalk_surface_staminate,stalk_surface_staminate.2.surface
stalk_trichome_surface_staminate,stalk_trichome_surface_staminate.1.surface
stamen_surface,stamen_surface.1.surface
stamen_surface,stamen_surface.2.surface
stipe_surface,stipe_surface.1.surface
stipe_surface,stipe_surface.2.surface
stipule_surface,stipule_surface.1.surface
testa_surface,testa_surface.1.surface
tree_surface,tree_surface.1.surface
tree_surface,tree_surface.2.surface
tree_trichome_surface,tree_trichome_surface.1.surface
trunk_branch_surface,trunk_branch_surface.1.surface
twig_hair_surface,twig_hair_surface.1.surface
twig_hair_surface,twig_hair_surface.2.surface
twig_surface,twig_surface.1.surface
twig_surface,twig_surface.2.surface
twig_surface,twig_surface.3.surface
twig_surface,twig_surface.4.surface
twig_surface,twig_surface.5.surface
twig_tip_surface,twig_tip_surface.1.surface
anther_color,anther_color.1.color
bark_color,bark_color.1.color
bark_color,bark_color.2.color
bark_color,bark_color.3.color
bark_color,bark_color.4.color
bark_color,bark_color.5.color
bract_apex_color,bract_apex_color.1.color
bract_apex_color,bract_apex_color.2.color
bract_ciliolate_color,bract_ciliolate_color.1.color
bract_color,bract_color.1.color
bract_color,bract_color.2.color
bract_color,bract_color.3.color
bract_gland_color,bract_gland_color.1.color
bract_hair_color,bract_hair_color.1.color
bract_scales_color_staminate,bract_scales_color_staminate.1.color
bract_trichome_color,bract_trichome_color.1.color
bract_trichome_color,bract_trichome_color.2.color
bract_trichome_color,bract_trichome_color.3.color
branch_bud_color,branch_bud_color.1.color
branch_color,branch_color.1.color
branch_color,branch_color.2.color
branch_color,branch_color.3.color
branch_color,branch_color.4.color
branch_gland_color,branch_gland_color.1.color
